player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Brandin Podziemski,2025-12-22,SELL_HIGH,0.45,27.9,0.522,28.6,0.571,15.9,False,PASSED
Brandin Podziemski,2025-12-25,SELL_HIGH,0.455,27.9,0.535,28.4,0.489,17.5,True,PASSED
Brandin Podziemski,2025-12-28,SELL_HIGH,0.456,27.9,0.553,29.4,0.455,21.2,True,PASSED
Brandin Podziemski,2025-12-29,SELL_HIGH,0.459,27.9,0.551,28.4,0.425,20.0,True,PASSED
Brandin Podziemski,2026-01-02,SELL_HIGH,0.466,27.5,0.571,25.4,0.361,22.7,True,PASSED
Brandon Ingram,2025-11-15,BUY_LOW,0.492,33.3,0.412,34.2,0.466,-16.2,True,PASSED
Brandon Ingram,2025-11-17,BUY_LOW,0.493,33.1,0.412,34.0,0.473,-16.2,True,PASSED
Brandon Ingram,2025-12-07,BUY_LOW,0.462,33.8,0.378,34.4,0.543,-18.2,True,PASSED
Brandon Miller,2025-12-18,BUY_LOW,0.364,28.4,0.297,31.6,0.442,-18.4,True,PASSED
Brandon Williams,2025-11-22,BUY_LOW,0.384,21.3,0.259,24.2,0.352,-32.5,True,PASSED
Brandon Williams,2025-11-28,BUY_LOW,0.389,21.9,0.288,25.0,0.326,-25.9,True,PASSED
Brandon Williams,2025-11-29,BUY_LOW,0.382,22.1,0.276,25.0,0.426,-27.7,True,PASSED
Brandon Williams,2025-12-01,BUY_LOW,0.38,22.3,0.311,26.2,0.475,-18.0,True,PASSED
Brandon Williams,2025-12-05,BUY_LOW,0.377,21.4,0.32,19.6,0.524,-15.1,True,PASSED
Brandon Williams,2025-12-18,SELL_HIGH,0.396,21.8,0.475,20.0,0.5,19.8,False,PASSED
Brandon Williams,2025-12-20,SELL_HIGH,0.396,22.2,0.488,23.6,0.568,23.4,False,PASSED
Brandon Williams,2025-12-22,SELL_HIGH,0.402,22.1,0.524,25.0,0.491,30.1,True,PASSED
Brandon Williams,2025-12-23,SELL_HIGH,0.398,21.9,0.512,23.2,0.564,28.8,False,PASSED
Brandon Williams,2025-12-29,SELL_HIGH,0.412,21.9,0.5,22.4,0.519,21.4,False,PASSED
Brice Sensabaugh,2025-12-12,BUY_LOW,0.408,15.7,0.3,14.8,0.463,-26.4,True,PASSED
