player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Austin Reaves,2025-12-05,SELL_HIGH,0.526,36.8,0.646,38.0,0.42,22.7,True,UNFILTERED
Ayo Dosunmu,2025-12-19,BUY_LOW,0.519,27.8,0.385,31.6,0.462,-25.9,True,UNFILTERED
Ayo Dosunmu,2025-12-21,BUY_LOW,0.516,27.1,0.404,29.8,0.432,-21.8,True,UNFILTERED
Ayo Dosunmu,2025-12-23,BUY_LOW,0.52,26.7,0.429,26.2,0.356,-17.6,False,UNFILTERED
Ayo Dosunmu,2025-12-26,BUY_LOW,0.515,26.2,0.405,22.0,0.417,-21.4,True,UNFILTERED
Ayo Dosunmu,2025-12-27,BUY_LOW,0.515,26.1,0.429,19.6,0.444,-16.7,True,UNFILTERED
Ayo Dosunmu,2026-01-02,BUY_LOW,0.493,26.1,0.356,23.6,0.621,-27.8,True,UNFILTERED
Bam Adebayo,2025-12-09,SELL_HIGH,0.477,30.4,0.551,31.6,0.438,15.5,True,UNFILTERED
Bam Adebayo,2026-01-01,BUY_LOW,0.467,30.9,0.397,31.2,0.359,-15.0,False,UNFILTERED
Baylor Scheierman,2025-12-28,BUY_LOW,0.491,12.0,0.273,12.2,0.5,-44.5,True,UNFILTERED
Ben Sheppard,2025-11-17,BUY_LOW,0.316,25.1,0.229,21.8,0.344,-27.7,True,UNFILTERED
Ben Sheppard,2025-11-19,BUY_LOW,0.314,25.4,0.235,23.0,0.4,-25.1,True,UNFILTERED
Ben Sheppard,2025-11-29,SELL_HIGH,0.333,25.8,0.4,27.0,0.56,20.0,False,UNFILTERED
Ben Sheppard,2025-12-03,SELL_HIGH,0.331,25.2,0.381,23.8,0.63,15.1,False,UNFILTERED
Ben Sheppard,2025-12-31,SELL_HIGH,0.354,24.9,0.565,22.8,0.538,59.8,True,UNFILTERED
Ben Sheppard,2026-01-02,SELL_HIGH,0.364,24.7,0.583,21.2,0.5,60.4,True,UNFILTERED
Ben Sheppard,2026-01-04,SELL_HIGH,0.369,24.3,0.56,18.8,0.417,51.9,True,UNFILTERED
Bennedict Mathurin,2025-12-03,BUY_LOW,0.442,32.5,0.375,31.2,0.456,-15.2,True,UNFILTERED
Bennedict Mathurin,2025-12-22,BUY_LOW,0.433,32.5,0.362,32.4,0.414,-16.4,True,UNFILTERED
Bennedict Mathurin,2025-12-23,BUY_LOW,0.426,32.8,0.328,32.8,0.433,-23.0,True,UNFILTERED
Bennedict Mathurin,2025-12-26,BUY_LOW,0.421,32.8,0.333,33.6,0.429,-20.9,True,UNFILTERED
