id,archived_json,log_json
28188679869,"{""player_id"": ""28188679869"", ""name"": ""Jose Alvarado"", ""team"": ""NO"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 3.7, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28188679869"", ""name"": ""Jose Alvarado"", ""team"": ""NO"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 3.7, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28198607869,"{""player_id"": ""28198607869"", ""name"": ""Nickeil Alexander-Walker"", ""team"": ""ATL"", ""position"": ""G"", ""status"": ""ACTIVE"", ""base_ppg"": 20.7, ""usg_pct"": 0.2, ""archetype"": ""TWO_WAY_WING"", ""updated_at"": ""2026-01-20 01:19:45"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28198607869"", ""name"": ""Nickeil Alexander-Walker"", ""team"": ""ATL"", ""position"": ""G"", ""status"": ""ACTIVE"", ""base_ppg"": 20.7, ""usg_pct"": 0.2, ""archetype"": ""TWO_WAY_WING"", ""updated_at"": ""2026-01-20 01:19:45"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28208536399,"{""player_id"": ""28208536399"", ""name"": ""De'Andre Hunter"", ""team"": ""CLE"", ""position"": ""F"", ""status"": ""ACTIVE"", ""base_ppg"": 11.9, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28208536399"", ""name"": ""De'Andre Hunter"", ""team"": ""CLE"", ""position"": ""F"", ""status"": ""ACTIVE"", ""base_ppg"": 11.9, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28208889869,"{""player_id"": ""28208889869"", ""name"": ""Ethan Thompson"", ""team"": ""IND"", ""position"": ""G"", ""status"": ""ACTIVE"", ""base_ppg"": 2.5, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28208889869"", ""name"": ""Ethan Thompson"", ""team"": ""IND"", ""position"": ""G"", ""status"": ""ACTIVE"", ""base_ppg"": 2.5, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28218011729,"{""player_id"": ""28218011729"", ""name"": ""Clint Capela"", ""team"": ""HOU"", ""position"": ""C"", ""status"": ""ACTIVE"", ""base_ppg"": 3.0, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28218011729"", ""name"": ""Clint Capela"", ""team"": ""HOU"", ""position"": ""C"", ""status"": ""ACTIVE"", ""base_ppg"": 3.0, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28218676399,"{""player_id"": ""28218676399"", ""name"": ""Micah Potter"", ""team"": ""IND"", ""position"": ""F"", ""status"": ""ACTIVE"", ""base_ppg"": 8.0, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28218676399"", ""name"": ""Micah Potter"", ""team"": ""IND"", ""position"": ""F"", ""status"": ""ACTIVE"", ""base_ppg"": 8.0, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28236562792,"{""player_id"": ""28236562792"", ""name"": ""Mike Conley"", ""team"": ""MIN"", ""position"": ""G"", ""status"": ""ACTIVE"", ""base_ppg"": 4.6, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28236562792"", ""name"": ""Mike Conley"", ""team"": ""MIN"", ""position"": ""G"", ""status"": ""ACTIVE"", ""base_ppg"": 4.6, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28248347129,"{""player_id"": ""28248347129"", ""name"": ""Jordan McLaughlin"", ""team"": ""SA"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 1.0, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28248347129"", ""name"": ""Jordan McLaughlin"", ""team"": ""SA"", ""position"": ""UNK"", ""status"": ""ACTIVE"", ""base_ppg"": 1.0, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-19 09:03:51"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28258111729,"{""player_id"": ""28258111729"", ""name"": ""Andrew Wiggins"", ""team"": ""MIA"", ""position"": ""F"", ""status"": ""ACTIVE"", ""base_ppg"": 13.6, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28258111729"", ""name"": ""Andrew Wiggins"", ""team"": ""MIA"", ""position"": ""F"", ""status"": ""ACTIVE"", ""base_ppg"": 13.6, ""usg_pct"": 0.2, ""archetype"": ""GENERALIST"", ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
28268539499,"{""player_id"": ""28268539499"", ""name"": ""Thomas Bryant"", ""team"": ""CLE"", ""position"": ""C"", ""status"": ""ACTIVE"", ""base_ppg"": 4.7, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 0, ""roster_updated_at"": null}","{""player_id"": ""28268539499"", ""name"": ""Thomas Bryant"", ""team"": ""CLE"", ""position"": ""C"", ""status"": ""ACTIVE"", ""base_ppg"": 4.7, ""usg_pct"": 0.2, ""archetype"": null, ""updated_at"": ""2026-01-20 01:19:46"", ""season_id"": ""22025"", ""is_active"": 1, ""roster_updated_at"": null}"
