player,game_date,signal,season_fg,l5_fg,n5_fg,deviation,regression_occurred,regression_strength
Bones Hyland,2025-12-27,BUY_LOW,0.476,0.395,0.357,-16.9,False,1.48
Bones Hyland,2026-01-03,BUY_LOW,0.458,0.371,0.387,-19.0,True,0.82
Branden Carlson,2025-12-10,SELL_HIGH,0.526,0.667,0.706,26.7,False,1.28
Branden Carlson,2025-12-18,SELL_HIGH,0.565,0.72,0.6,27.5,True,0.23
Branden Carlson,2025-12-22,SELL_HIGH,0.569,0.708,0.6,24.4,True,0.22
Branden Carlson,2025-12-23,SELL_HIGH,0.569,0.667,0.588,17.1,True,0.19
Branden Carlson,2025-12-25,SELL_HIGH,0.569,0.667,0.615,17.1,True,0.47
Branden Carlson,2025-12-28,SELL_HIGH,0.568,0.706,0.577,24.4,True,0.07
Brandin Podziemski,2025-11-16,BUY_LOW,0.438,0.357,0.423,-18.5,True,0.19
Brandin Podziemski,2025-12-20,SELL_HIGH,0.454,0.545,0.5,20.3,True,0.51
Brandin Podziemski,2025-12-22,SELL_HIGH,0.45,0.522,0.571,15.9,False,1.69
Brandin Podziemski,2025-12-25,SELL_HIGH,0.455,0.535,0.489,17.5,True,0.42
Brandin Podziemski,2025-12-28,SELL_HIGH,0.456,0.553,0.455,21.2,True,0.02
Brandin Podziemski,2025-12-29,SELL_HIGH,0.459,0.551,0.425,20.0,True,0.37
Brandin Podziemski,2026-01-02,SELL_HIGH,0.466,0.571,0.361,22.7,True,0.99
Brandon Ingram,2025-11-15,BUY_LOW,0.492,0.412,0.466,-16.2,True,0.33
Brandon Ingram,2025-11-17,BUY_LOW,0.493,0.412,0.473,-16.2,True,0.25
Brandon Ingram,2025-12-07,BUY_LOW,0.462,0.378,0.543,-18.2,True,0.97
Brandon Miller,2025-12-18,BUY_LOW,0.364,0.297,0.442,-18.4,True,1.16
Brandon Williams,2025-11-22,BUY_LOW,0.384,0.259,0.352,-32.5,True,0.26
Brandon Williams,2025-11-24,BUY_LOW,0.396,0.321,0.32,-18.8,False,1.02
Brandon Williams,2025-11-28,BUY_LOW,0.389,0.288,0.326,-25.9,True,0.62
Brandon Williams,2025-11-29,BUY_LOW,0.382,0.276,0.426,-27.7,True,0.42
